"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"pagrus auratus","silver seabream","pagrus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",0.346666666666667
"paralichthys olivaceus","bastard halibut","paralichthys","Demersal Fish","paralichthyidae","pleuronectiformes","import","Marine areas","Iron",1.72
"pennahia argentata","silver croaker","pennahia","Demersal Fish","sciaenidae","perciformes","import","Marine areas","Iron",1.7
"plectorhinchus schotaf","minstrel sweetlips","plectorhinchus","Demersal Fish","haemulidae","perciformes","import","Marine areas","Iron",6e-04
"pleurogrammus azonus","okhotsk atka mackerel","pleurogrammus","Demersal Fish","hexagrammidae","scorpaeniformes","import","Marine areas","Iron",1.62857142857143
"priacanthus macracanthus","red bigeye","priacanthus","Demersal Fish","priacanthidae","perciformes","import","Marine areas","Iron",0.764
"psenopsis anomala","pacific rudderfish","psenopsis","Demersal Fish","centrolophidae","perciformes","import","Marine areas","Iron",0.511
"psettodes erumei","indian halibut","psettodes","Demersal Fish","psettodidae","pleuronectiformes","import","Marine areas","Iron",0.00028
"rhabdosargus haffara","haffara seabream","rhabdosargus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",0.4
"sargocentron spiniferum","sabre squirrelfish","sargocentron","Demersal Fish","holocentridae","beryciformes","import","Marine areas","Iron",0.548
"saurida tumbil","greater lizardfish","saurida","Demersal Fish","synodontidae","aulopiformes","import","Marine areas","Iron",1.285
"scarus ghobban","blue-barred parrotfish","scarus","Demersal Fish","scaridae","perciformes","import","Marine areas","Iron",0.53519
"seriolella punctata","silver warehou","seriolella","Demersal Fish","centrolophidae","perciformes","import","Marine areas","Iron",0.6
"sillago sihama","silver sillago","sillago","Demersal Fish","sillaginidae","perciformes","import","Marine areas","Iron",2.3
"takifugu rubripes","tiger pufferfish","takifugu","Demersal Fish","tetraodontidae","tetraodontiformes","import","Marine areas","Iron",0.25
"chanos chanos","milkfish","chanos","Freshwater Fish","chanidae","gonorynchiformes","import","Marine areas","Iron",0.3003375
"hypomesus nipponensis","japanese smelt","hypomesus","Freshwater Fish","osmeridae","osmeriformes","import","Inland waters","Iron",1.86666666666667
