mar_taxa_name,mar_match_key,afcd_match_species,afcd_match_genus,afcd_match_family,afcd_match_order,afcd_match_class,afcd_match_phylum,missing,tonnes
pseudopleuronectes herzensteini,NA,NA,NA,NA,NA,NA,NA,1,2643381.698
cephalopholis boenak,dephalipholis boenak,dephalipholis boenak,cephalopholis,NA,NA,NA,NA,0,2638150.127
xiphias gladius,xiphias gladius,xiphias gladius,xiphias,NA,NA,NA,NA,0,2606027.242
sardinella fimbriata,sardinella fimbriata,sardinella fimbriata,sardinella,NA,NA,NA,NA,0,2599147.568
fenneropenaeus chinensis,fenneropenaeus chinensis,fenneropenaeus chinensis,fenneropenaeus,NA,NA,NA,NA,0,2589817.722
exocoetidae,exocoetidae,NA,NA,exocoetidae,NA,NA,NA,0,2581211.942
echinoidea,echinoida,NA,NA,NA,echinoida,echinoidea,NA,0,2552144.748
rajidae,rajidae,NA,NA,rajidae,NA,NA,NA,0,2534136.383
micropogonias,micropogonias,NA,micropogonias,NA,NA,NA,NA,0,2533990.904
macrodon ancylodon,macrodon ancylodon,macrodon ancylodon,macrodon,NA,NA,NA,NA,0,2444046.09
fenneropenaeus indicus,fenneropenaeus indicus,fenneropenaeus indicus,fenneropenaeus,NA,NA,NA,NA,0,2394229.695
raja,raja,NA,raja,NA,NA,NA,NA,0,2387784.282
siganus,siganus,NA,siganus,NA,NA,NA,NA,0,2349268.14
eleginus gracilis,eleginus gracilis,eleginus gracilis,eleginus,NA,NA,NA,NA,0,2339445.972
scorpaeniformes,scorpaeniformes,NA,NA,NA,scorpaeniformes,NA,NA,0,2333681.609
brosme brosme,brosme,NA,brosme,NA,NA,NA,NA,0,2322171.015
arctoscopus japonicus,arctoscopus japonicus,arctoscopus japonicus,arctoscopus,NA,NA,NA,NA,0,2310484.036
congridae,congridae,NA,NA,congridae,NA,NA,NA,0,2308331.319
cyclopterus lumpus,cyclopterus lumpus,cyclopterus lumpus,cyclopterus,NA,NA,NA,NA,0,2283442.05
anoplopoma fimbria,anoplopoma fimbria,anoplopoma fimbria,anoplopoma,NA,NA,NA,NA,0,2270675.936
nemipterus virgatus,nemipterus virgatus,nemipterus virgatus,nemipterus,NA,NA,NA,NA,0,2265591.111
ilisha elongata,ilisha elongata,ilisha elongata,ilisha,NA,NA,NA,NA,0,2251357.645
octopus,octopus,NA,octopus,NA,NA,NA,NA,0,2250915.562
squalidae,squalidae,NA,NA,squalidae,NA,NA,NA,0,2246725.414
merluccius australis,merluccius australis,merluccius australis,merluccius,NA,NA,NA,NA,0,2231789.167
priacanthidae,priacanthidae,NA,NA,priacanthidae,NA,NA,NA,0,2189301
fenneropenaeus merguiensis,fenneropenaeus merguiensis,fenneropenaeus merguiensis,fenneropenaeus,NA,NA,NA,NA,0,2160804.834
triglidae,triglia,NA,triglia,triglidae,NA,NA,NA,0,2134767.163
palinuridae,palinuridae,NA,NA,palinuridae,NA,NA,NA,0,2117100.955
chirocentrus,chirocentrus,NA,chirocentrus,NA,NA,NA,NA,0,2116436.282
etrumeus whiteheadi,etrumeus,NA,etrumeus,NA,NA,NA,NA,0,2112431
pagrus auratus,pagrus auratus,pagrus auratus,pagrus,NA,NA,NA,NA,0,2086751.104
paralichthyidae,paralichthyidae,NA,NA,paralichthyidae,NA,NA,NA,0,2058300.341
genypterus blacodes,genypterus blacodes,genypterus blacodes,genypterus,NA,NA,NA,NA,0,2039931.424
